Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
26013076635,Đầm ôm body lệch vai chéo dáng dài phối khoen hình hồ điệp- thun ladong L745,₫134.000,5,Sumi House - Đầm Body,"12,4%",₫16.080,https://shopee.vn/product/39720376/26013076635,https://s.shopee.vn/3Ar5UHmXfJ
20987375516,Đầm body trễ vai tay dài dáng xòe chéo dây sang chảnh - thun gân lạnh D8701,₫142.000,44,Sumi House - Đầm Body,"12,4%",₫17.040,https://shopee.vn/product/39720376/20987375516,https://s.shopee.vn/2fuotMoRgE
29902674739,"Đầm ôm body nữ cổ tròn tay ngắn xẻ tà cao đính hoa tua rua sang chảnh, đầm đi tiệc đi chơi - Chất thun nhũ H771",₫133.000,40,Sumi House - Đầm Body,"12,4%",₫15.960,https://shopee.vn/product/39720376/29902674739,https://s.shopee.vn/2qEF5fnoLH
29816439327,Đầm body tay dài cổ đổ đính hoa vai dáng ngắn nhún hông tôn dáng dễ thương - thun ladong L753 Sumi House,₫133.000,3,Sumi House - Đầm Body,"12,4%",₫15.960,https://shopee.vn/product/39720376/29816439327,https://s.shopee.vn/50IjfefYwi
29704074214,Đầm body nữ cổ tròn tay ngắn nhún eo dáng xòe dễ thương - thun gân lạnh LD0800,₫135.000,24,Sumi House - Đầm Body,"12,4%",₫16.200,https://shopee.vn/product/39720376/29704074214,https://s.shopee.vn/5Ac9rxevbl
29453103259,Đầm ôm body cổ trụ cài nút  sát nách dáng xoè nhẹ - thun len quảng châu H781,₫134.000,20,Sumi House - Đầm Body,"12,4%",₫16.080,https://shopee.vn/product/39720376/29453103259,https://s.shopee.vn/4fftH2gpcg
29152385338,Đầm hai dây cột nơ lụa dáng dài siêu tôn dáng - bầu bì bon chen được - thun borip H645,₫119.000,50,Sumi House - Đầm Body,"12,4%",₫14.280,https://shopee.vn/product/39720376/29152385338,https://s.shopee.vn/4pzJTLgCHj
28766811894,Set chân váy đuôi cá kèm áo cổ v tay dài tag hồ điệp tôn dáng - thun gân tăm BB745 Sumi House,₫134.000,3,Sumi House - Đầm Body,"12,4%",₫16.080,https://shopee.vn/product/39720376/28766811894,https://s.shopee.vn/4L32sQi6Ie
26560676841,Đầm cổ vuông tay con dáng tầng xòe đính hoa eo cực dễ thương kèm quần trong - thun gân lạnh H745,₫134.000,10,Sumi House - Đầm Body,"12,4%",₫16.080,https://shopee.vn/product/39720376/26560676841,https://s.shopee.vn/4VMT4jhSxh
26455701926,Đầm body nữ hai dây đính khoen nhún hông đính hoa sang chảnh - thun ladong R714,₫129.000,18,Sumi House - Đầm Body,"12,4%",₫15.480,https://shopee.vn/product/39720376/26455701926,https://s.shopee.vn/40QCTojMyc
26263951286,Set áo cổ cao tay hến dáng croptop kèm chân váy midi nhún hông tôn dáng - thun nhũ BB105,₫160.000,7,Sumi House - Đầm Body,"12,4%",₫19.200,https://shopee.vn/product/39720376/26263951286,https://s.shopee.vn/4Ajcg7ijdf
26263406057,Đầm ôm body cổ sen nơ tay ngắn dáng dài - Thun gân lạnh H627 Sumi House,₫124.000,7,Sumi House - Đầm Body,"12,4%",₫14.880,https://shopee.vn/product/39720376/26263406057,https://s.shopee.vn/6Ko7G6aUF6
24925752015,Đầm body cổ đức tay ngắn dáng dài thanh lịch (đầm dài 1m2) - thun ladong DL632,₫114.000,114,Sumi House - Đầm Body,"12,4%",₫13.680,https://shopee.vn/product/39720376/24925752015,https://s.shopee.vn/6V7XSPZqu9
