Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
5725186827,1kg khô gà lá chanh sợi zai thơm ngon,₫39.000,"6,9k",shopbeanh1003,"4,4%",₫1.560,https://shopee.vn/product/101293327/5725186827,https://s.shopee.vn/2VbOijE1F9
8841794279,Khô Gà Lá Chanh Loại 1 Siêu Ngon - 1KG (2 Hộp 500GR),₫62.900,"1,5k",duy_khang_food,"4,4%",₫2.516,https://shopee.vn/product/206612047/8841794279,https://s.shopee.vn/2fuov2DNuC
24981372186,Khô Gà Lá Chanh Kyodo thượng hạng Loại 1 [Tặng 1 Khô Bò]  Ăn Là Mê [Gói 50 gram],₫45.000,505,Minhtâmfood,"12,5%",₫5.400,https://shopee.vn/product/1257675374/24981372186,https://s.shopee.vn/2qEF7LCkZF
25512165474,"500G Khô Gà Lá Chanh Thơm Ngon Loại 1, Khô Gà  Cay Xé Sọi Trung Nam Food Loại 1",₫39.000,815,Tiệm Ăn Vặt Thuỳ Bùi.,"4,4%",₫1.560,https://shopee.vn/product/1103540324/25512165474,https://s.shopee.vn/30XfJeC7EI
3670882618,Khô Bò Sợi Thơm Ngon (khô gà giả bò) VietTin Mart 500g,₫75.000,"3,6k",VietTin Mart,"9,4%",₫6.750,https://shopee.vn/product/74670232/3670882618,https://s.shopee.vn/3Ar5VxBTtL
21526575801,"[HN - CHÍNH HÃNG] Khô gà lá chanh MIXIFOOD tuyệt phẩm thịt gà chất lượng cao, SIÊU NGON - ĐẬM ĐÀ",₫79.000,12k,Mixi_Food,"2,4%",₫1.580,https://shopee.vn/product/790953918/21526575801,https://s.shopee.vn/3LAViGAqYO
25587001414,"khô gà , khô mực , khô bò mix vị lọ 200g",₫30.000,152,xưởng pizza chuyên sỉ,"4,4%",₫1.200,https://shopee.vn/product/1187834254/25587001414,https://s.shopee.vn/3VTvuZADDR
14875811701,Bánh Tráng Dẻo Trộn Tóp Mỡ Khô Gà Dầu Hành Siêu Ngon LiliFood,₫23.000,4k,LiliFood - Trùm Ăn Vặt,"7,4%",₫1.610,https://shopee.vn/product/503724065/14875811701,https://s.shopee.vn/3fnM6s9ZsU
29851935733,COMBO CƠM CHÁY TỨ VỊ: Cơm Cháy Đáy Nồi và Cơm Cháy Tép (Tặng Sốt Gỏi Thái & Bơ Hột Gà) Bếp Chè Thái,₫279.000,914,Bếp Chè Thái.,"7,4%",₫19.530,https://shopee.vn/product/343514920/29851935733,https://s.shopee.vn/3q6mJB8wXX
1932727333,1Kg Khô Gà Bơ Tỏi ( Giòn ngon - Đậm vị ) | Đồ ăn vặt Yotafood,₫145.000,"3,9k",YOTAFOOD,"7,4%",₫10.150,https://shopee.vn/product/63963995/1932727333,https://s.shopee.vn/40QCVU8JCa
