Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
27262927908,"Bộ quần áo thể thao nam lining thu đông, bộ thể thao nam thu đông cao cấp mẫu mới nhất 2024 BTTCT014 ib",₫420.000,262,THỜI TRANG NAM QUẢNG CHÂU ,"2,4%",₫8.400,https://shopee.vn/product/564738757/27262927908,https://s.shopee.vn/9pNzSM046N
28767487882,QUÀ TẶNG cho Bộ đồ ngủ pijama nam nữ cộc tay chất vải lụa gấm dio in chìm THE 1997,₫249.000,4k,1997 PRINT,"7,4%",₫17.430,https://shopee.vn/product/25764679/28767487882,https://s.shopee.vn/9zhPeezQlQ
27419589395,Quần áo nam boy phố Pari.s - Bộ quần áo nam mùa đông Pari.s khoá Logo Thời trang nam hottrend 2024 HIMADI,₫249.000,"5,1k",HIMADI,"2,4%",₫4.980,https://shopee.vn/product/1345865568/27419589395,https://s.shopee.vn/AA0pqxynQT
29062862890,"Bộ thể thao nam lining quảng châu, Bộ quần áo thu đông có mũ chất đẹp mẫu mới nhất 2024 BT12",₫380.000,262,THỜI TRANG NAM QUẢNG CHÂU ,"2,4%",₫7.600,https://shopee.vn/product/564738757/29062862890,https://s.shopee.vn/AKKG3GyA5W
22056130885,Bộ quần áo thể thao thu đông dài tay phối Layer chất tổ ong,₫99.000,"20,9k",Shop99 +,"2,4%",₫1.980,https://shopee.vn/product/977588674/22056130885,https://s.shopee.vn/AUdgFZxWkZ
5574893693,BỘ QUẦN ÁO GIỮ NHIỆT NAM LEGGING COMBAT PRO TẬP GYM BÓNG ĐÁ BÓNG RỔ CHƠI THỂ THAO CO GIÃN 4 CHIỀU,₫35.000,"8,7k",PHƯƠNG NAM SPORT,"4,4%",₫1.400,https://shopee.vn/product/119658376/5574893693,https://s.shopee.vn/BDTwaaria
25739433782,Set Bộ Quần Áo Nỉ Nam Thu Đông Logo Thêu Chất Nỉ 2 Da Dày Dặn Quần Có Dây Rút SOLADO BONI,₫176.500,"3,6k",phancongchucOtaj75531,"2,4%",₫3.530,https://shopee.vn/product/719209509/25739433782,https://s.shopee.vn/u3kHbV3Z
28210682833,"Combo Quần áo giữ nhiệt Nam, bộ quần áo giữ nhiệt Procombat co dãn 4 chiều, tập gym, đá bóng, chạy bộ",₫69.000,"3,1k",Edu Sports,"2,4%",₫1.380,https://shopee.vn/product/1354527104/28210682833,https://s.shopee.vn/VqKLCZb2g
26220168535,Set Bộ Quần Áo Nỉ Thu Đông Logo Thêu Chất Nỉ 2 Da Dày Dặn Quần Có Dây Rút Hot Nhất 2024,₫179.000,3k,diepthanhcOijq,"2,4%",₫3.580,https://shopee.vn/product/719209393/26220168535,https://s.shopee.vn/LWu8taENf
26520379972,Bộ Nỉ Nam A Đi Đát Nam Thêu Logo Vàng phía hai chiều Siêu Đẹp - Bộ quần áo giới tính Nỉ A Đi Đát Đức Logo Vàng Siêu Nét,₫152.000,3k,Thời Trang Hina 88,"2,4%",₫3.040,https://shopee.vn/product/717573345/26520379972,https://s.shopee.vn/qTAjoYKMm
