Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
24588416681,"Nước hoa Lisa Per fume Chính Hãng siêu phẩm nước hoa nam , nữ mới ra mắt , lưu hương 6-8 , toả hương 2-3m,giá chỉ 89k",₫26.250,24,LISA PERFUME Official,"22,4%",₫5.775,https://shopee.vn/product/1124101525/24588416681,https://s.shopee.vn/2AyYIbDaom
7716762033,XỊT NGĂN MỒ HÔI TAY CHÂN MỒ HÔI NÁCH NỘI ĐỊA TRUNG QUỐC (COMBO 2 SIZE KHÁCH TỈNH FREESHIP ĐƠN HÀNG 250.000Đ),₫50.000,"2,6k",✅NGĂN MỒ HÔI MẶT TAY CHÂN NÁCH,"22,4%",₫11.000,https://shopee.vn/product/135742441/7716762033,https://s.shopee.vn/20f86IEE9l
6314486663,Xịt ngăn mồ hôi tay mồ hôi chân mồ hôi nách nội địa Trung Quốc,₫50.000,"1,5k",✅NGĂN MỒ HÔI MẶT TAY CHÂN NÁCH,"22,4%",₫11.000,https://shopee.vn/product/135742441/6314486663,https://s.shopee.vn/2VbOhDCK8s
27367681319,"NƯỚC HOA LISAPERFUME CHÍNH HÃNG 50ML NAM, NỮ TẶNG BODY MIST 100ML SIÊU HỜI. NƯỚC HOA THƠM SIÊU DAI 6-8H, HƯƠNG DỄ CHỊU.",₫59.500,22,LISA PERFUME Official,"22,4%",₫13.090,https://shopee.vn/product/1124101525/27367681319,https://s.shopee.vn/2LHyUuCxTr
24055709768,NƯỚC HOA NỮ 10ML - PRINCESS COMBO - DÀNH CHO TIỂU THƯ SANG CHÃNH. LOVELY GIRL - PRINCESS - LOVE STORY,₫31.500,78,LISA PERFUME Official,"22,4%",₫6.930,https://shopee.vn/product/1124101525/24055709768,https://s.shopee.vn/BDTuvLCsS
24388383965,"NƯỚC HOA NAM/NỮ 50ML LISAPERFUME CHÍNH HÃNG. MUA 1 TẶNG 1 NƯỚC HOA NỮ/NAM 50ML THƠM LÂU 6-8H, HƯƠNG THƠM DỊU NHẸ DỄ CHỊU",₫89.250,19,LISA PERFUME Official,"22,4%",₫19.635,https://shopee.vn/product/1124101525/24388383965,https://s.shopee.vn/u3icLqDR
25305366437,"NƯỚC HOA NAM,NỮ 10ML [MUA 2 TẶNG 2] 4 CHAI CHỈ 99K THƠM LÂU 6-8H TỎA HƯƠNG 1-2M",₫66.750,379,Lisa Perfume Store,"22,4%",₫14.685,https://shopee.vn/product/1145205703/25305366437,https://s.shopee.vn/VqKJXJwCY
27650777284,"[ MUA 2 TẶNG 5 ] BODY MIST LISAPERFUME CHÍNH HÃNG 100ML THƠM LÂU, TẶNG NƯỚC HOA, XỊT THƠM MIỆNG SIÊU HỜI.",₫79.200,591,LISA PERFUME Official,"22,4%",₫17.424,https://shopee.vn/product/1124101525/27650777284,https://s.shopee.vn/LWu7EKZXX
24155337995,"Nước hoa Chiết mini 10ml NAM, NỮ Strong men - ACTIVE MEN- SEXY MEN Hương thơm  mạnh mẽ, NAM TÍNH GIÚP BẠN LUÔN THƠM.",₫24.675,156,Lisa Perfume Store,"22,4%",₫5.429,https://shopee.vn/product/1145205703/24155337995,https://s.shopee.vn/qTAi9IfWe
24638386553,"NƯỚC HOA 50ML LISAPERFUME CHÍNH HÃNG. MUA 1 TẶNG 1 BODY MIST NAM, NỮ 100ML THƠM LÂU 6-8H, HƯƠNG THƠM DỊU NHẸ DỄ CHỊU",₫89.250,13,LISA PERFUME Official,"22,4%",₫19.635,https://shopee.vn/product/1124101525/24638386553,https://s.shopee.vn/g9kVqJIrd
