Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
674213932,Áo Len Cổ Lọ Nam Nữ SUKIYA Full Video Chất Sợi Len Lông Thỏ 380gsm mềm mại kiểu dáng Hàn Quốc Nhiều Màu AL14,₫99.500,"50,1k",SUKIYA OFFICIAL STORE,"14,4%",₫13.930,https://shopee.vn/product/38038824/674213932,https://s.shopee.vn/1g2Hhk4bGa
22989632674,Khăn Giấy Rút Treo Tường Bông Sen Vàng (6 Bịch tặng 3 móc treo + 10 cái khẩu trang 5D),₫105.000,"56,6k",Bông Sen Vàng Official,"7,4%",₫7.350,https://shopee.vn/product/796123153/22989632674,https://s.shopee.vn/1qLhu33xvd
23855126624,Quần Tất Nữ Giữ Nhiệt Mùa đông Dày Mịn Thon Chân Siêu Dai cạp cao Định hình vòng eo QT13 - LESEVA,₫31.900,"34,3k",LE'S EVA ,"14,4%",₫4.466,https://shopee.vn/product/1002873744/23855126624,https://s.shopee.vn/1LPRJ85rwY
5278589476,Dầu dừa tinh khiết Organic VIETCOCO chai PET 250ml,₫59.000,"42,9k",Vietcoco - Tinh Hoa Dừa Việt,"12,4%",₫7.080,https://shopee.vn/product/60414205/5278589476,https://s.shopee.vn/1VirVR5Ebb
7906998505,Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,₫125.000,"255,9k",Cocoon Vietnam Chính Hãng,"12,4%",₫15.000,https://shopee.vn/product/175753395/7906998505,https://s.shopee.vn/2LHyUy23um
23552060269,"Giấy vệ sinh treo tường TopGia thùng 6 bịch đa sắc treo đa năng từ bột gỗ nguyên chất, 1280 tờ 4 lớp",₫119.000,"352,2k",TopGia HCM Store,"11,4%",₫13.090,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/2VbOhH1QZp
23513361596,"Gel giảm mụn, dưỡng ẩm da ACTIDEM Derma Gel 18gr / 40gr - Be Glow Beauty",₫115.000,"184,9k",Be Glow Beauty,"17,4%",₫19.550,https://shopee.vn/product/606061105/23513361596,https://s.shopee.vn/20f86M3Kak
15851619305,Áo sweater nỉ lông cáo nam nữ cao cấp JULIDO,₫131.300,"7,3k",@JULIDO,"12,4%",₫15.756,https://shopee.vn/product/33435563/15851619305,https://s.shopee.vn/2AyYIf2hFn
20954628618,Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày 330 ML,₫120.000,"371,9k",Unilever Việt Nam _ Health & Beauty,"17,4%",₫20.400,https://shopee.vn/product/111138057/20954628618,https://s.shopee.vn/8UsbqIeaP2
25126199949,[COMBO 2] Nước Giặt Joykity Hương Lavender Dịu Nhẹ An Toàn Cho Da / Hỗ Trợ Làm Sạch Vết Bẩn Ưu Việt / Lưu Hương 48 Tiếng,₫265.000,"21,4k",Joykity Official Store,"14,4%",₫37.100,https://shopee.vn/product/1235332362/25126199949,https://s.shopee.vn/8KZBdzfDk1
