Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25725120069,Quạt mini điều chỉnh 100 tốc độ Goojodoq có màn hình kỹ thuật số LED Quạt cầm tay có thể sạc lại,₫349.000,"24,3k",GoojodoqMall.VN,"22,4%",₫76.780,https://shopee.vn/product/958778013/25725120069,https://s.shopee.vn/8AFlRqOxZz
20493037179,Điện thoại Apple iPhone 15 Pro Max 256GB,₫30.090.000,"49,2k",Apple Flagship Store,"2,4%",₫601.800,https://shopee.vn/product/88201679/20493037179,https://s.shopee.vn/8zosRNLmtA
19155359678,Đồng Hồ Thông Minh Y68 Kết Nối Bluetooth Chống Thấm Nước Kiểu Dáng Thể Thao Cho IPhone Xiaomi,₫64.000,"19,3k",i12/y68/reloj/smartwatch,"7,4%",₫4.480,https://shopee.vn/product/767520990/19155359678,https://s.shopee.vn/9A8IdgL9YD
23371612140,"Sim 4G Vietnamobile gói data 5GB/ngày cước 50k/tháng, không free mạng tháng đầu, không tạo TK",₫18.000,24k,Trùm Sim Data - Sim Số Đẹp,"2,4%",₫360,https://shopee.vn/product/1020983909/23371612140,https://s.shopee.vn/8fC22lN3Z8
26902551226,Ốp Điện Thoại Chống Sốc Mờ Sang Trọng Từ Tính Cho iPhone 16 15 Pro Max 14 13 12 11 Pro Max 15 16 Plus Bìa Cứng,₫66.547,"4,6k",AloCase.vn,"12,4%",₫7.986,https://shopee.vn/product/542068555/26902551226,https://s.shopee.vn/8pVSF4MQEB
26711038214,Apple iPhone 16 Pro Max 256GB Chính hãng VN/A,₫35.190.000,"3,5k",Viettel Store - AAR,"2,4%",₫703.800,https://shopee.vn/product/308461157/26711038214,https://s.shopee.vn/9f4ZEbJFXM
27650091119,Dễ Thương Crayon Shin-chan Giá Đỡ Điện Thoại Di Động Hoạt Hình Để Bàn Đồ Trang Trí Quà Tặng Tiếp Liệu,₫11.000,"83,3k",Plush Paradise,"9,4%",₫990,https://shopee.vn/product/1207037322/27650091119,https://s.shopee.vn/9pNzQuIcCP
25857978607,"Sim 4G Vietnamobile ưu đãi Data 150GB/tháng, Số đầu 09, Tặng phút gọi miễn phí, Đăng ký chính chủ không lo mất sim.",₫18.000,"6,5k",SIM THỊNH PHÁT - SIM DATA,"2,4%",₫360,https://shopee.vn/product/537644014/25857978607,https://s.shopee.vn/9KRipzKWDK
25176208160,"【Vỏ/nhãn dán bảo vệ miễn phí】GOOJODOQ Quạt Turbo Jet 4000 mAh có thể sạc lại, cầm tay, di động, gió mạnh, tốc độ cao 100 vòng/phút",₫319.000,"61,4k",Goojodoq Offical Shop.VN,"15,4%",₫47.850,https://shopee.vn/product/1053077389/25176208160,https://s.shopee.vn/9Ul92IJssN
29560903606,Điện thoại Apple iPhone 16 Pro Max 256GB,₫34.490.000,"7,5k",Apple Flagship Store,"2,4%",₫689.800,https://shopee.vn/product/88201679/29560903606,https://s.shopee.vn/AKKG1pGiBY
