Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23425883094,Áo Thun Nam TẾT 2025 Đỏ Đô Cổ Tròn  Cotton Ngắn Tay Hàn Quốc,₫90.250,"1,3k",Áo Thun Nhà KEN,"22,4%",₫19.855,https://shopee.vn/product/31572216/23425883094,https://s.shopee.vn/1g2HiBbl8O
19769365543,Áo thun TẾT 2025 form rộng unisex nam nữ,₫171.500,43,Carrot & Friends Clothing,"2,4%",₫3.430,https://shopee.vn/product/692571198/19769365543,https://s.shopee.vn/1qLhuUb7nR
23127615936,"Áo thun Tết 2025 Unisex Nam Nữ 💖Áo Thun Gia Đình Xuân, Chất  cotton mát mịn in Hình siêu dễ thương  - SSSHOP 16",₫89.000,72,SSSHOP - TIEM IN AO THUN,"2,4%",₫1.780,https://shopee.vn/product/377542671/23127615936,https://s.shopee.vn/1LPRJZd1oM
18833286008,Áo thun Hình Lá BÀI TẾT 2025 - W1T810 - HoCha89 Vải Cotton 4C may dây cổ hàng CAO CẤP (Hình thật),₫139.500,56,fbhocha89,"12,4%",₫16.740,https://shopee.vn/product/156434316/18833286008,https://s.shopee.vn/1VirVscOTP
18355901787,"Áo thun gia đình tết Hà Nội, Hồ Chí Minh 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,5,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/18355901787,https://s.shopee.vn/3fnM5rU94q
17480720821,(blum.clt) - Mẫu Tết 2025 áo kiểu lệch vai 1 bên màu kem ren bèo Alice,₫199.000,3,blum.clt,"2,4%",₫3.980,https://shopee.vn/product/76927363/17480720821,https://s.shopee.vn/3q6mIATVjt
15619977560,áo thun tết 2025 múa lân cotton mịn mát,₫59.000,21,Khải Hoàng áo in,"2,4%",₫1.180,https://shopee.vn/product/90346937/15619977560,https://s.shopee.vn/3LAVhFVPko
15335147347,Áo Thun ĐỎ TẾT 2025 XUÂN ẤT TỴ CON RẮN Unisex Nam Nữ Áo Gia Đình Cặp Đôi Shop lucas - LÂN TẾT,₫115.000,384,Shop.Lucas,"2,4%",₫2.300,https://shopee.vn/product/500984823/15335147347,https://s.shopee.vn/3VTvtYUmPr
14913546520,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,15,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/14913546520,https://s.shopee.vn/30XfIdWgQm
12166741666,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn,vải dày mịn mát, in cao cấp- đủ size bé - lớn, 100 mẫu tết",₫69.000,5,Áo thun tết 2025,"8,4%",₫5.520,https://shopee.vn/product/358646842/12166741666,https://s.shopee.vn/3Ar5UwW35p
