Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
22656080044,Khay Đựng Son Đựng Mỹ Phẩm Trong Suốt 24 ô Xinh Xắn,₫26.000,0,nwsz3zunr5,"2,4%",₫520,https://shopee.vn/product/1061047385/22656080044,https://s.shopee.vn/VqKKIRQ3T
22156799389,Aubess Niche Handaiyan Sexy Rose Purple Lipgloss Matte 12 Màu Son Bóng Velvety Lipstick Liquid Matte Lip Tint Không Thấm Nước Mỹ Phẩm Trang điểm Môi Gợi Cảm,₫8.000,1,aubess.retail.store.vn,"6,4%",₫480,https://shopee.vn/product/868237480/22156799389,https://s.shopee.vn/20f873Li0m
20884357345,Keep Smile Matte Lâu trôi không thấm nước Lip Tint Plumping Trang điểm Son môi Mỹ phẩm JULYSTAR,₫7.000,7,Fortunas Makeup Store,"4,4%",₫280,https://shopee.vn/product/902629555/20884357345,https://s.shopee.vn/2AyYJML4fp
20293220977,Túi Đựng Mỹ Phẩm Vệ Sinh Nữ Dung Tích Lớn 4 Trong 1 Di Động Đóng Gói Du Lịch Bảo Quản Cọ Trang Điểm Son Môi,₫123.900,0,Liang77777___7bnv42nwn8,"2,4%",₫2.478,https://shopee.vn/product/1067848706/20293220977,https://s.shopee.vn/2LHyVfKRKs
18784654038,[B.A] vegan lip mousse 3.5ml | mỹ phẩm thuần chay Son dưỡng môi thuần chay đôi môi lipstick lips,₫283.500,0,quảng trường hàn quốc,"2,4%",₫5.670,https://shopee.vn/product/971605683/18784654038,https://s.shopee.vn/2VbOhyJnzv
13199778484,Mỹ phẩm son phấn mắt thanh lý pass new tách set chuẩn xịn sò,₫89.000,0,Mimi.vintage,"2,4%",₫1.780,https://shopee.vn/product/30045248/13199778484,https://s.shopee.vn/1LPRJpOFMi
12506682461,"Son Kem Lì Revlon Ultra HD Matte Lipcolor (5,9ml)- Nhật Bản - mỹ phẩm ola",₫160.000,19,Mỹ Phẩm Tóc Nail Mi Spa OLA,"6,4%",₫9.600,https://shopee.vn/product/1078819/12506682461,https://s.shopee.vn/1VirW8Nc1l
4959179572,"[Freeship] Son Thỏi BERRISOM REAL ME LIPSTICK lên màu chuẩn, không thâm môi, giữ lâu cấp ẩm_Mỹ phẩm Hàn Quốc chính hãng",₫320.000,2,CSHOP Cosmetics,"7,4%",₫22.400,https://shopee.vn/product/89972654/4959179572,https://s.shopee.vn/1g2HiRMygo
22870494782,ranliy💗Gương Son Bóng Mỹ Phẩm Dễ Thương Nước Bóng Môi Glaze Son Môi Lâu Dài Dưỡng Ẩm Dưỡng Ẩm Son tint Son Trang Điểm,₫38.670,54,ranliy,"5,4%",₫1.934,https://shopee.vn/product/991801960/22870494782,https://s.shopee.vn/1qLhukMLLr
22250672960,Son môi mờ không thấm nước velvet lip stick lâu trôi màu nâu đỏ tía tint nude sexy lipstic phụ nữ trang điểm mỹ phẩm,₫9.603,12,feifan123.vn,"2,4%",₫192,https://shopee.vn/product/833193826/22250672960,https://s.shopee.vn/3LAVhVGdJA
