Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
24457269399,"Hộp quà tết sang trọng 2025 An Lạc, giỏ quà bánh kẹo nhập khẩu hàng chính hãng giá tốt",₫690.000,25,Hiaa Store,"2,4%",₫13.800,https://shopee.vn/product/705152567/24457269399,https://s.shopee.vn/5fYQTtn7Mk
24406605950,"Hộp quà tết sang trọng 2025, giỏ quà bánh kẹo nhập khẩu hàng chính hãng giá tốt làm quà tặng biếu",₫1.100.000,20,Hiaa Store,"2,4%",₫22.000,https://shopee.vn/product/705152567/24406605950,https://s.shopee.vn/5prqgCmU1n
9906487147,Giỏ quà tết bánh kẹo cao cấp/qnhdng,₫450.000,17,shopgiarehanoi2019,"2,4%",₫9.000,https://shopee.vn/product/212635002/9906487147,https://s.shopee.vn/7KgeSxglz6
8203513047,"Giỏ quà Tết, bánh kẹo Tết cao cấp",₫1.150.000,1,shopgiarehanoi2019,"2,4%",₫23.000,https://shopee.vn/product/212635002/8203513047,https://s.shopee.vn/7V04fGg8e9
26269102230,"Hộp Quà Tết 2025 (Không Riệu) - Giỏ Quà Tết HT Bakehouse, Bánh Kẹo Nhập Khẩu - Quà Tặng Doanh Nghiệp",₫299.000,160,HT BAKEHOUSE,"2,4%",₫5.980,https://shopee.vn/product/1266938673/26269102230,https://s.shopee.vn/7fJUrZfVJC
29168963901,"Hộp Quà Tết 2025 (Không Riệu) - Giỏ Quà Tết HT Bakehouse, Bánh Kẹo Nhập Khẩu - Quà Tặng Doanh Nghiệp",₫550.000,150,HT BAKEHOUSE,"2,4%",₫11.000,https://shopee.vn/product/1266938673/29168963901,https://s.shopee.vn/7pcv3seryF
26119478842,"Set quà Tết PHUSA hạt dinh dưỡng, xoài sấy dẻo, giỏ quà Tết bánh kẹo chính hãng giá rẻ",₫299.000,12,PHÙ SA Farm-Quà tặng nông sản,"2,4%",₫5.980,https://shopee.vn/product/42916650/26119478842,https://s.shopee.vn/6fQxfjjJL2
25911182312,Giỏ quà bánh kẹo Tết 2024 giá rẻ,₫399.000,7,KEN FRUIT,"2,4%",₫7.980,https://shopee.vn/product/101221318/25911182312,https://s.shopee.vn/6pkNs2ig05
25457904113,"Giỏ quà Tết hạt dinh dưỡng macca, hạt điều, hạnh nhân, mứt Tết, bánh kẹo chính hãng",₫340.000,66,PHÙ SA Farm-Quà tặng nông sản,"2,4%",₫6.800,https://shopee.vn/product/42916650/25457904113,https://s.shopee.vn/703o4Li2f8
24305282688,"Hộp quà tết sang trọng 2025t vali, giỏ quà bánh kẹo nhập khẩu hàng chính hãng",₫720.000,18,Hiaa Store,"2,4%",₫14.400,https://shopee.vn/product/705152567/24305282688,https://s.shopee.vn/7ANEGehPKB
29970538370,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_02 tại Hà Nội",₫650.000,0,Ami Fruit,"2,4%",₫13.000,https://shopee.vn/product/995696378/29970538370,https://s.shopee.vn/8fC23PbhHU
7269203629,"Giỏ quà Tết, bánh kẹo Tết cao cấp",₫600.000,2,shopgiarehanoi2019,"2,4%",₫12.000,https://shopee.vn/product/212635002/7269203629,https://s.shopee.vn/8pVSFib3wX
5569796963,giỏ quà Tết bánh kẹo tết đẹp giỏ mây và đế thuyền,₫600.000,1,shopgiarehanoi2019,"2,4%",₫12.000,https://shopee.vn/product/212635002/5569796963,https://s.shopee.vn/8zosS1aQba
27219102434,"Hộp Quà Tết 2025 (Có Riệu, Ship Hỏa Tốc) - Giỏ Quà Tết HT Bakehouse Cao Cấp, Bánh Kẹo Nhập Khẩu",₫349.000,120,HT BAKEHOUSE,"2,4%",₫6.980,https://shopee.vn/product/1266938673/27219102434,https://s.shopee.vn/9A8IeKZnGd
26169105598,"Giỏ Quà Tết 2025 (Có Riệu, Ship Hỏa Tốc) - Set Hộp Quà Tết HT Bakehouse, Bánh Kẹo Cao Cấp",₫599.000,120,HT BAKEHOUSE,"2,4%",₫11.980,https://shopee.vn/product/1266938673/26169105598,https://s.shopee.vn/7zwLGBeEdQ
29870541877,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_01 tại Hà Nội",₫550.000,0,Ami Fruit,"2,4%",₫11.000,https://shopee.vn/product/995696378/29870541877,https://s.shopee.vn/8AFlSUdbIT
29817273786,Giỏ quà tết bánh kẹo đỏ,₫989.000,0,BinhMinhOi,"2,4%",₫19.780,https://shopee.vn/product/881390651/29817273786,https://s.shopee.vn/8KZBencxxW
29669318034,"Hộp Quà Tết HT Bakehouse (Có Riệu, Ship Hỏa Tốc) - Giỏ Quà Tết 2025 Cao Cấp, Bánh Kẹo Nhập Khẩu",₫500.000,0,HT Bakehouse HCM,"7,4%",₫35.000,https://shopee.vn/product/1055224169/29669318034,https://s.shopee.vn/8Usbr6cKcZ
29617281172,Giỏ quà tết bánh kẹo đỏ,₫789.000,0,BinhMinhOi,"2,4%",₫15.780,https://shopee.vn/product/881390651/29617281172,https://s.shopee.vn/9zhPdrWcZs
29470542117,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_03 tại Hà Nội",₫450.000,0,Ami Fruit,"2,4%",₫9.000,https://shopee.vn/product/995696378/29470542117,https://s.shopee.vn/AA0pqAVzEv
5469043663,"Giỏ quà Tết, bánh kẹo Tết giá rẻ .khách đặt tối đa 1 giỏ 1 đơn",₫590.000,4,shopgiarehanoi2019,"2,4%",₫11.800,https://shopee.vn/product/212635002/5469043663,https://s.shopee.vn/AKKG2TVLty
23009652697,Giỏ quà Tết bánh kẹo Tết cao cấp,₫650.000,1,shopgiarehanoi2019,"2,4%",₫13.000,https://shopee.vn/product/212635002/23009652697,https://s.shopee.vn/AUdgEmUiZ1
29069317787,"Hộp Quà Tết HT Bakehouse (Ko Riệu) - Giỏ Quà Tết 2025, Bánh Kẹo Cao Cấp Nhập Khẩu",₫1.000.000,0,HT Bakehouse HCM,"7,4%",₫70.000,https://shopee.vn/product/1055224169/29069317787,https://s.shopee.vn/9KRiqdZ9vo
28916694866,"Hộp quà tặng, Hộp quà tết, Hộp bánh kẹo, Giỏ quà tết Sài Gòn Gourmet 2025- SGGM2025HQ01 [kèm thiệp chúc tết và túi giấy]",₫1.140.000,0,Sài Gòn Gourmet,"7,4%",₫79.800,https://shopee.vn/product/569231156/28916694866,https://s.shopee.vn/9Ul92wYWar
28820547013,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_06 tại Hà Nội",₫650.000,0,Ami Fruit,"2,4%",₫13.000,https://shopee.vn/product/995696378/28820547013,https://s.shopee.vn/9f4ZFFXtFu
28817750142,giỏ quà Tết cao cấp bánh kẹo yến,₫650.000,0,Xuân Yến Sào,"2,4%",₫13.000,https://shopee.vn/product/1242537977/28817750142,https://s.shopee.vn/9pNzRYXFux
28620347352,"Giỏ Quà Tết Trứng Xanh Dương-Đỏ 2025, Giỏ Quà Tết Đẹp Mắt Bánh Kẹo Nhập Khẩu",₫699.000,0,PH Nuts,"2,4%",₫13.980,https://shopee.vn/product/466458829/28620347352,https://s.shopee.vn/1B617d4FVI
28467745419,giỏ quà tết bánh kẹo cao cấp,₫755.000,0,Xuân Yến Sào,"2,4%",₫15.100,https://shopee.vn/product/1242537977/28467745419,https://s.shopee.vn/10mavK4sqH
27820542117,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_04 tại Hà Nội",₫740.000,0,Ami Fruit,"2,4%",₫14.800,https://shopee.vn/product/995696378/27820542117,https://s.shopee.vn/qTAj15WBG
21868295226,Giỏ quà Tết bánh kẹo cao cấp VIP khay sơn mài,₫1.300.000,0,shopgiarehanoi2019,"2,4%",₫26.000,https://shopee.vn/product/212635002/21868295226,https://s.shopee.vn/g9kWi69WF
18872953555,Giỏ Quà Tết bánh kẹo mẫu VIP,₫1.550.000,0,shopgiarehanoi2019,"2,4%",₫31.000,https://shopee.vn/product/212635002/18872953555,https://s.shopee.vn/VqKKP6mrE
27520760733,Giỏ quà tết bánh kẹo ghi chú màu,₫320.000,0,thanhtam10102000,"2,4%",₫6.400,https://shopee.vn/product/46103818/27520760733,https://s.shopee.vn/LWu867QCD
27368093044,Giỏ quà tết 13 món bánh- kẹo-socola,₫399.000,0,thanhtam10102000,"2,4%",₫7.980,https://shopee.vn/product/46103818/27368093044,https://s.shopee.vn/BDTvn83XC
26819556624,"Giỏ Quà Tết 2025, Giỏ Quà Ăn Dặm, Giỏ Quà Ăn Kiêng, Bánh Kẹo Tết 2025 Healthy Tặng Lì Xì",₫199.000,0,Top Seeds - Hạt Xanh Organic,"2,4%",₫3.980,https://shopee.vn/product/213332380/26819556624,https://s.shopee.vn/u3jU8gsB
28317755269,giỏ quà Tết 2025 bánh kẹo mới nhất,₫695.000,0,Xuân Yến Sào,"2,4%",₫13.900,https://shopee.vn/product/1242537977/28317755269,https://s.shopee.vn/2VbOi4zAng
26818556509,"Bánh kẹo, khay thuyền gói giỏ quà tết tone xanh dương",₫309.000,0,Tạp Hóa Thảo Thuận,"2,4%",₫6.180,https://shopee.vn/product/1395831671/26818556509,https://s.shopee.vn/2LHyVlzo8f
26670542528,"Giỏ quà/ Giỏ bánh kẹo Tết 2025 đẹp, giá rẻ GQ_TET_05 tại Hà Nội",₫750.000,0,Ami Fruit,"2,4%",₫15.000,https://shopee.vn/product/995696378/26670542528,https://s.shopee.vn/2AyYJT0RTe
26019422962,"Hộp Quà Tết HT Bakehouse (Ko Riệu), Bánh Kẹo Cao Cấp Nhập Khẩu - Giỏ Quà Tết 2025 Quà Tặng Doanh Nghiệp",₫600.000,0,HT Bakehouse HCM,"7,4%",₫42.000,https://shopee.vn/product/1055224169/26019422962,https://s.shopee.vn/20f87A14od
3572530051,Giỏ quà tết bánh kẹo khay gỗ an toàn ship xa/qynhdg,₫450.000,3,shopgiarehanoi2019,"2,4%",₫9.000,https://shopee.vn/product/212635002/3572530051,https://s.shopee.vn/1qLhur1i9c
25614744819,🧧 BÁNH KẸO GÓI GIỎ QUÀ TẾT - Cam Kết Date Mới Để Gói Quà ❤️,₫750.000,0,KHO BÁN SỈ QUẬN 11 TPHCM,"2,4%",₫15.000,https://shopee.vn/product/4710496/25614744819,https://s.shopee.vn/1g2HiY2LUb
26220749991,giỏ quà tết bánh kẹo ghi chú màu,₫275.000,0,thanhtam10102000,"2,4%",₫5.500,https://shopee.vn/product/46103818/26220749991,https://s.shopee.vn/1VirWF2ypa
25611209832,"[GIAO HỎA TỐC] Giỏ Quà Tết Set Quà Tết Sắc Xuân loại bánh kẹo tone màu tùy chọn may mắn, tài lộc",₫349.000,1,2khoeshop,"2,4%",₫6.980,https://shopee.vn/product/333471827/25611209832,https://s.shopee.vn/1LPRJw3cAZ
25558443716,Giỏ quà bánh kẹo Tết 2024 giá 535k,₫535.000,1,KEN FRUIT,"2,4%",₫10.700,https://shopee.vn/product/101221318/25558443716,https://s.shopee.vn/3q6mIWu664
25554710251,Giỏ bánh kẹo quà tặng 2024 Giỏ quà Tết Quà Tặng Tết,₫525.000,0,phamtuuyen1503,"2,4%",₫10.500,https://shopee.vn/product/30278528/25554710251,https://s.shopee.vn/3fnM6DujR3
