Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
24381429553,Nước Tẩy Trang Cleansing Water Tyra Beauty,₫70.000,11,Mỹ Phẩm Thanh Trang SG,"12,4%",₫8.400,https://shopee.vn/product/58653069/24381429553,https://s.shopee.vn/7V04fRB1Nr
591989399,Nước tẩy trang và làm sạch sâu 3-in-1 L'Oreal Paris  Micellar Water 400ml,₫179.000,"2,2tr",L'Oreal Paris Official Store,"12,4%",₫21.480,https://shopee.vn/product/37251933/591989399,https://s.shopee.vn/703o4WCvOm
10707015149,Nước Tẩy Trang làm sạch sâu dịu nhẹ cho mọi loại da - Garnier Micellar Cleansing Water 400ml,₫160.000,"864,6k",Garnier Official Store,"12,4%",₫19.200,https://shopee.vn/product/421677475/10707015149,https://s.shopee.vn/7ANEGpCI3p
17298251283,"Nước Tẩy Trang Bioderma Crealine H2O Nắp Nhấn Màu Hồng ( mọi loại da ) , nắp nhấn xanh ( da dầu mụn ) 500ml: sacdep_hcm",₫215.000,"30,3k",Sắc Đẹp HCM,"10,4%",₫21.500,https://shopee.vn/product/1014325610/17298251283,https://s.shopee.vn/6fQxfuEC4k
22218679345,Nước tẩy trang rau má AISASEA 500ml dưỡng ẩm khuôn mặt môi mắt làm sạch sâu cho da nhạy cảm,₫115.000,"65,3k",AISASEA Official Store,"12,4%",₫13.800,https://shopee.vn/product/935977899/22218679345,https://s.shopee.vn/6pkNsDDYjn
14431447267,Nước Tẩy Trang Bioderma [ Tặng kèm bông tẩy trang] Crealine H2O Solution Micellaire Nắp Màu Xanh 500ml _ Monshop2022,₫119.000,"13,3k",Monshop2022,"4,4%",₫4.760,https://shopee.vn/product/646282282/14431447267,https://s.shopee.vn/6Ko7HIFSki
1812939717,"Nước Tẩy Trang L'oreal Dành Cho Da Dầu, Da Nhạy Cảm, Làm Sạch Trang Điểm 400ml Hasaki",₫169.000,"296,4k",Hasaki Official Store,"2,4%",₫3.380,https://shopee.vn/product/18644537/1812939717,https://s.shopee.vn/6V7XTbEpPl
8023970203,Nước Tẩy Trang L’Oreal Micellar Water 3-in-1 (400ml),₫49.000,"129,8k",nuty.vn,"7,4%",₫3.430,https://shopee.vn/product/151657812/8023970203,https://s.shopee.vn/60BGsgGjQg
22348214916,Nước Tẩy Trang Bioderma Sensibio H2O Chính Hãng Cho Da Dầu Mụn Và Da Nhạy Cảm 500ml,₫288.000,"8,7k",Mỹ Phẩm BO,"10,4%",₫28.800,https://shopee.vn/product/293349041/22348214916,https://s.shopee.vn/6AUh4zG65j
22867319931,Nước tẩy trang trà xanh INNISFREE GREEN TEA CLEANSING 300ML - Bimiu.store.official,₫235.000,139,mỹ phẩm BIMIU HCM,"2,4%",₫4.700,https://shopee.vn/product/436716403/22867319931,https://s.shopee.vn/5fYQU4I06e
11919119481,Nước Tẩy Trang Garnier Micellar Cleansing Water,₫164.000,"34,1k",Lam Thảo Cosmetics,"2,4%",₫3.280,https://shopee.vn/product/181790483/11919119481,https://s.shopee.vn/5prqgNHMlh
