Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
13960759308,Giá sỉ Nước Hoa Body 4D 20ml Lưu Hương Lâu [NAM VÀ NỮ],₫9.500,"21,8k",Kho Sỉ Hoàng Yến 0981.084.333,"4,4%",₫380,https://shopee.vn/product/16740057/13960759308,https://s.shopee.vn/30XfJSGxlU
28914541073,"[ Tặng 1 chai 2ml ] Nước hoa nam chính hãng DI.OR SAU.VAGE, mùi hương nam lịch lãm #nước hoa dior sauvage",₫50.000,"1,4k",Thế_giới_nước_hoa_chính_hãng77,"2,4%",₫1.000,https://shopee.vn/product/1049931970/28914541073,https://s.shopee.vn/3Ar5VlGKQX
18284412275,"Nước hoa nam Sexy Man 55ml thơm lâu với hương thơm đầy quyến rũ, Nước hoa nam rẻ với độ lưu hương lâu từ 3-7h",₫24.990,"4,3k",bumshop79,"4,4%",₫1.000,https://shopee.vn/product/16644636/18284412275,https://s.shopee.vn/2fuouqIERS
24488678166,Xịt Thơm Uniex Nam Nữ Body Mist Học Sinh Lưu Hương Lâu 6H BODYMISS 100 ML,₫22.999,888,SaLeMyPham89,"2,4%",₫460,https://shopee.vn/product/28228365/24488678166,https://s.shopee.vn/2qEF79Hb6V
20782585120,"Bộ Sưu Tập Nước Hoa Nam Scenti Hương Thơm Mạnh Mẽ, Sang Trọng, Cuốn Hút, Chai Xịt 10ml",₫17.000,"35,6k",Scenti Official,"7,4%",₫1.190,https://shopee.vn/product/1045640696/20782585120,https://s.shopee.vn/2LHyWEJV7Q
21372878136,Xịt Thơm Body Mist Nội Địa TRUNG Fleur Nam Nữ Nhiều Mùi (Mẫu Thử 10ml),₫4.900,"76,1k",ĐN Minimart,"4,4%",₫196,https://shopee.vn/product/178836374/21372878136,https://s.shopee.vn/2VbOiXIrmT
20962266107,[1 chai - 10ml] Nước hoa nam SIRMEN Signature Eau de Parfum Châu Âu Europe Gentlemen cao cấp thơm lịch lãm sang trọng,₫89.000,"2,4k",Sirmen Việt Nam,"22,4%",₫19.580,https://shopee.vn/product/872284980/20962266107,https://s.shopee.vn/20f87cKlnO
21572647311,[Sexy Man] Nước Hoa Nam Sexy Man 50ml Phong Cách Sexy Nam Tính Mạnh Mẽ,₫27.400,"37,4k",MagicBeauty,"4,4%",₫1.096,https://shopee.vn/product/183705378/21572647311,https://s.shopee.vn/2AyYJvK8SR
20780761699,"[GIẢM 50% ĐƠN TỪ 175K] Bodymist cho nam nữ, xịt thơm toàn thân lưu hương 6 giờ BODYMISS",₫93.000,12k,eherbvnofficialstore,"17,4%",₫15.810,https://shopee.vn/product/831509831/20780761699,https://s.shopee.vn/1g2Hj0M2TM
18783362549,"Nước hoa nam chính hãng KINGMONSTER - Hương thơm mạnh mẽ lôi cuốn, lưu hương tới 8h 10ml/chai",₫199.000,"8,8k",King Monster-Đẳng Cấp Đế Vương,"17,4%",₫33.830,https://shopee.vn/product/594424281/18783362549,https://s.shopee.vn/1qLhvJLP8P
27301894985,"Nước hoa Le Labo Another 13 chính hãng chiết 10ml  – Hương gỗ nhẹ nhàng, lôi cuốn cho nam nữ",₫109.000,"140,7k",Hanexperfume,"17,4%",₫18.530,https://shopee.vn/product/1273681926/27301894985,https://s.shopee.vn/1LPRKONJ9K
14819027060,"[Bạn mới nhập COSHBM -50% đơn 0Đ] Nước Hoa, Xịt Thơm Body chai 20ml thơm ngọt ngào dùng cho cả nam và nữ",₫9.504,"85,2k",HOÀNG YẾN VIP 👑,"2,4%",₫190,https://shopee.vn/product/29936623/14819027060,https://s.shopee.vn/1VirWhMfoN
15093686520,Xịt thơm Body mist mùi nam Victoria Fleur - 236ml,₫12.500,"91,7k",Thanh Hằng Cosmetic,"10,4%",₫1.250,https://shopee.vn/product/39423331/15093686520,https://s.shopee.vn/10mavmOZpI
23070752986,Tinh dầu nước hoa Dubai dạng lăn mini 3ml mẫu thử hàng cao cấp 50  mùi nước hoa nam nữ,₫14.500,"12,2k",DUBICE - TINH DẦU NƯỚC HOA,"12,4%",₫1.740,https://shopee.vn/product/300310201/23070752986,https://s.shopee.vn/1B6185NwUL
24751632934,"[BST NAM LUXURY 30ML] Tinh Dầu Nước Hoa Nam Dạng Xịt Deelab Nhẹ nhàng, Lãng tử, Phong Trần - Dạng xịt 30m",₫49.000,"15,8k",Deelab Official,"2,4%",₫980,https://shopee.vn/product/903804545/24751632934,https://s.shopee.vn/g9kXAPqVG
16906578926,✅[Chính Hãng] Nước hoa khô Nam đẳng cấp chính  dạng sáp Median chính hãng unisex ngọt nhẹ thơm lâu,₫38.000,"1,3k",Shop Men 111,"2,4%",₫760,https://shopee.vn/product/346700090/16906578926,https://s.shopee.vn/qTAjTPDAJ
24528079321,[ COMBO 3 CHAI NƯỚC HOA NAM ] Nước hoa nam Lever - Thanh lịch /Cuốn hút /Mạnh mẽ,₫54.510,"5,9k",GiaLinhShops,"12,4%",₫6.541,https://shopee.vn/product/946004611/24528079321,https://s.shopee.vn/LWu8YR7BE
