Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
20087279623,Nước Hoa Nữ LCM Idole Le Parfum EDP 75ml | Tươi Mới & Thanh Lịch | Cosmetic & Beauty,₫489.250,142,Cosmetic & Beauty,"16,4%",₫78.280,https://shopee.vn/product/1155056447/20087279623,https://s.shopee.vn/4VMT64Et7d
18187581470,Nước Hoa Nữ Victoia Seret Very Sexy 100ml || Gợi Cảm & Cuốn Hút || Cosmetic & Beauty,₫450.000,237,Cosmetic & Beauty,"16,4%",₫72.000,https://shopee.vn/product/1155056447/18187581470,https://s.shopee.vn/40QCV9Gn8Y
29712315929,Nước Hoa Nữ Nar Hồng EDP Hương Cỏ Hoa Tươi mát Trái Cây Perfume Xịt Thơm Cosmetic Women,₫480.000,0,Moon Shop Perfume,"2,4%",₫9.600,https://shopee.vn/product/103681848/29712315929,https://s.shopee.vn/4AjchSG9nb
29557668788,Nước Hoa ĐLUXURY Quyến Rũ Cuốn Hút 10ml [Nữ & Nam]- Hàng chính hãng👍👍👍👍,₫107.000,0,Phụ liệu tóc nail chính hãng,"2,4%",₫2.140,https://shopee.vn/product/952352985/29557668788,https://s.shopee.vn/3fnM6XI3oW
29360452564,Nước hoa chiết LeLabo another chuẩn nước hoa nam nữ thơm lâu quyến rũ cuốn hút sành điệu Hairskin,₫180.000,0,Tóc Việt Hà Nội - Cs2,"2,4%",₫3.600,https://shopee.vn/product/655404962/29360452564,https://s.shopee.vn/3q6mIqHQTZ
29312217649,Nước Hoa Nữ Miss EDT Gợi Cảm Thanh Lịch Sang Trọng Cosmetic Xịt Thơm Women Perfume,₫456.000,0,Moon Shop Perfume,"2,4%",₫9.120,https://shopee.vn/product/103681848/29312217649,https://s.shopee.vn/3LAVhvJKUU
28963839108,Tinh Dầu Nước Hoa Nữ 55ml,₫220.000,0,nguyễng hoàng khang 0778172440,"7,4%",₫15.400,https://shopee.vn/product/620657584/28963839108,https://s.shopee.vn/3VTvuEIh9X
28866703725,Nước Hoa Nữ K4perfume Good Girl Nguyên Liệu Nhập Pháp Hương Thơm Ngọt Ngào Bí Ẩn Dạng Xịt 30ml Dạng Xịt,₫299.000,0,K4perfume Việt Nam ,"22,4%",₫65.780,https://shopee.vn/product/610825144/28866703725,https://s.shopee.vn/30XfJJKbAS
28000372279,Nước Hoa nữ Scandal dạng xịt 25ml,₫69.000,0,Cưng Perfume,"2,4%",₫1.380,https://shopee.vn/product/1074988289/28000372279,https://s.shopee.vn/3Ar5VcJxpV
26319230302,"Nước Hoa Nữ Good Girl CR Black 80ml | Ngọt Ngào, Sexy & Quyến Rũ | Cosmetic & Beauty",₫529.530,4,Cosmetic & Beauty,"10,4%",₫52.953,https://shopee.vn/product/1155056447/26319230302,https://s.shopee.vn/2fuouhLrqQ
28669354991,Nước hoa nữ DlOR Hypnotic Poison 90ml | Quyến Rũ & Thanh Lịch | Cosmetic & Beauty,₫563.160,3,Cosmetic & Beauty,"10,4%",₫56.316,https://shopee.vn/product/1155056447/28669354991,https://s.shopee.vn/2qEF70LEVT
29062212804,Nước Hoa Nữ Vevet Vanila Sang Trọng Qúy Phái Nổi Bật Perfume Cosmetic Xịt Thơm Women,₫232.000,0,Moon Shop Perfume,"2,4%",₫4.640,https://shopee.vn/product/103681848/29062212804,https://s.shopee.vn/2LHyW5N8WO
27760452612,Nước hoa nữ Narciso hồng lùn chiết 10ml chuẩn thơm lâu xịt thơm nữ lưu hương lâu ngọt ngào quyến rũ,₫200.000,2,Tóc Việt Hà Nội - Cs2,"2,4%",₫4.000,https://shopee.vn/product/655404962/27760452612,https://s.shopee.vn/2VbOiOMVBR
27560443005,Nước hoa nữ Narciso hồng chiết 10ml chuẩn lưu hương lâu dịu nhẹ quyến rũ cuốn hút Hairskin,₫189.000,0,Tóc Việt Hà Nội - Cs2,"2,4%",₫3.780,https://shopee.vn/product/655404962/27560443005,https://s.shopee.vn/20f87TOPCM
28612315919,Nước Hoa Nữ Libre' Vàng EDP Sang trọng Nữ tính Xịt Thơm Cosmetic Perfume Women Tinh Dầu,₫376.000,0,Moon Shop Perfume,"2,4%",₫7.520,https://shopee.vn/product/103681848/28612315919,https://s.shopee.vn/2AyYJmNlrP
27064723486,Nước hoa nữ JML Wild Bluebell nữ tính nhẹ nhàng dễ thương 2ml 5ml 10ml,₫116.000,0,HP Perfume,"2,4%",₫2.320,https://shopee.vn/product/126105951/27064723486,https://s.shopee.vn/1g2HirPfsK
26205006475,Nước hoa dầu thơm nữ Sisi Salome 40ml,₫45.000,0,Mr.J shop,"2,4%",₫900,https://shopee.vn/product/191939293/26205006475,https://s.shopee.vn/1qLhvAP2XN
25502866776,BỘ QUÀ TẶNG NƯỚC HOA COUPLE 8: Classy Girl + Sport Boy: 2 Chai Nước Hoa Nam Nữ Dạng Xịt EDP BzPerfum,₫220.000,0,BzMAN Official Store,"12,4%",₫26.400,https://shopee.vn/product/29524848/25502866776,https://s.shopee.vn/1LPRKFQwYI
27969225949,Nước Hoa Nữ Good Girl CR Red Edition 80ml | Mùi Hương Mê Hoặc Khó Cưỡng | Cosmetic & Beauty,₫529.530,1,Cosmetic & Beauty,"10,4%",₫52.953,https://shopee.vn/product/1155056447/27969225949,https://s.shopee.vn/1VirWYQJDL
29570670756,"Nước Hoa Nữ Good Girl Fantastic Link 80ml | Ngọt Ngào , Quyến Rũ và Nổi Bật | Cosmetic & Beauty",₫919.000,0,Cosmetic & Beauty,"10,4%",₫91.900,https://shopee.vn/product/1155056447/29570670756,https://s.shopee.vn/10mavdSDEG
28562213043,Coco Nước Hoa Nữ COCO Gợi cảm Quyến rũ sang trọng Cosmetic Perfume Xịt Thơm Women,₫432.000,0,Moon Shop Perfume,"2,4%",₫8.640,https://shopee.vn/product/103681848/28562213043,https://s.shopee.vn/1B617wRZtJ
25202868064,COMBO PERFECT GIRL 3 CHAI NƯỚC HOA NỮ: Classy Girl + Sweet Girl + Bad Girl: Dạng Xịt 10ml BzPerfume,₫325.000,0,BzMAN Official Store,"12,4%",₫39.000,https://shopee.vn/product/29524848/25202868064,https://s.shopee.vn/g9kX1TTuE
